,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
145,GALAH 3H,24:00:00,25.15,34.9,12.09,150,80,Chem treated Pump DOA down on high high low low low and high span reset BOL,2021-04-09
146,GOANNA 1H,24:00:00,21.73,17.84,3.33,120,80,,2021-04-09
147,GREAT WHITE 1H,24:00:00,51.66,66.61,20.84,125,90,,2021-04-09
148,GREAT WHITE 2H,24:00:00,40.83,55.33,15.0,125,90,,2021-04-09
149,JAVELINA 1H,24:00:00,20.0,14.71,7.92,130,80,,2021-04-09
150,MANTA 1H,24:00:00,27.2,21.29,1.4,200,80,,2021-04-09
151,REEF 3H,24:00:00,24.12,30.26,0.01,200,70,6.5spm,2021-04-09
152,RIDGEBACK 1H,24:00:00,15.04,12.07,12.08,120,80,,2021-04-09
153,SEA WASP 2H,24:00:00,10.02,49.24,1.67,150,80,Chem treated,2021-04-09
154,STINGRAY 2H,24:00:00,22.14,30.38,20.0,200,80,,2021-04-09
159,Summary,,356.97,594.78,184.33,,,,2021-04-09
155,THORNY DEVIL 1H,24:00:00,41.54,111.11,25.83,180,100,Chem treated,2021-04-09
156,THORNY DEVIL 2H,24:00:00,9.97,66.06,1.67,180,100,Chem treated Pump DOA min load reset,2021-04-09
157,THORNY DEVIL 3H,24:00:00,19.61,33.37,6.25,150,80,Chem treated,2021-04-09
158,WOMBAT 2H,24:00:00,22.97,34.13,22.08,140,80,,2021-04-09
160,CROC 1H,24:00:00,8.32,4.92,3.33,250,80,"12on/12off, 6.5spm",2021-04-08
161,GALAH 3H,24:00:00,37.16,47.5,19.99,150,80,,2021-04-08
162,GOANNA 1H,24:00:00,26.75,14.43,8.33,120,80,,2021-04-08
163,GREAT WHITE 1H,24:00:00,63.33,71.44,15.83,125,90,,2021-04-08
164,GREAT WHITE 2H,24:00:00,41.67,53.86,15.0,125,90,,2021-04-08
165,JAVELINA 1H,24:00:00,18.34,15.0,13.33,130,80,"12hrs on/12hrs off, 7.3spm",2021-04-08
166,MANTA 1H,24:00:00,17.42,25.88,15.34,200,80,,2021-04-08
167,REEF 3H,24:00:00,25.36,33.97,4.17,200,70,6.5spm,2021-04-08
168,RIDGEBACK 1H,24:00:00,10.02,12.0,6.67,120,80,7.1spm,2021-04-08
169,SEA WASP 2H,24:00:00,15.04,67.04,6.67,150,80,,2021-04-08
170,STINGRAY 2H,24:00:00,17.96,11.73,3.33,200,80,"12hrs on/12hrs off, 6.6spm.",2021-04-08
175,Summary,,383.69,611.17,162.39,,,,2021-04-08
171,THORNY DEVIL 1H,24:00:00,38.94,102.34,18.75,180,100,,2021-04-08
172,THORNY DEVIL 2H,24:00:00,24.56,86.83,12.91,180,100,,2021-04-08
173,THORNY DEVIL 3H,24:00:00,14.61,28.42,2.08,150,80,,2021-04-08
174,WOMBAT 2H,24:00:00,24.21,35.81,16.66,140,80,Chem treated,2021-04-08
176,CROC 1H,24:00:00,18.29,11.32,22.5,280,80,"12on/12off, 6.5spm",2021-04-07
177,GALAH 3H,24:00:00,38.43,49.97,15.0,150,80,,2021-04-07
