,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
13185,THORNY DEVIL 3H,24:00:00,31.75,4.0,10.0,150,70,,2019-01-12
13186,WOMBAT 2H,0:00,0.01,0.01,0.01,3700,2250,shut in for frac,2019-01-12
13188,CROC 1H,24:00:00,56.64,34.0,17.0,220,70,Oil production high due to making up from DT,2019-01-11
13189,GALAH 3H,24:00:00,50.29,92.0,2.0,280,70,color cut SWT and OT's. All good. Wtr Leg was clogged. BOL.,2019-01-11
13190,GOANNA 1H,24:00:00,40.13,56.0,15.0,220,100,,2019-01-11
13191,GREAT WHITE 1H,24:00:00,121.67,74.0,39.0,260,750,,2019-01-11
13192,GREAT WHITE 2H,24:00:00,80.01,62.0,28.0,220,650,,2019-01-11
13193,JAVELINA 1H,24:00:00,31.68,21.0,12.0,240,60,,2019-01-11
13194,MANTA 1H,24:00:00,47.42,108.0,11.0,200,80,,2019-01-11
13195,REEF 3H,24:00:00,48.26,43.0,17.0,120,80,,2019-01-11
13196,RIDGEBACK 1H,24:00:00,20.04,4.0,7.0,120,60,,2019-01-11
13197,SEA WASP 2H,24:00:00,31.74,87.0,8.34,90,80,,2019-01-11
13198,STINGRAY 2H,24:00:00,8.37,4.0,184.0,280,60,,2019-01-11
13203,Summary,,837.15,1130.0,492.34,,,,2019-01-11
13199,THORNY DEVIL 1H,24:00:00,167.49,273.0,65.0,160,560,,2019-01-11
13200,THORNY DEVIL 2H,24:00:00,103.33,268.0,62.0,160,640,,2019-01-11
13201,THORNY DEVIL 3H,24:00:00,30.08,4.0,25.0,150,70,,2019-01-11
13202,WOMBAT 2H,0:00,0.01,0.01,0.01,3700,2250,shut in for frac,2019-01-11
13204,CROC 1H,0:00,0.01,16.0,0.01,100,70,"Gas locked, blew down well and got back pump action",2019-01-10
13205,GALAH 3H,24:00:00,50.1,110.0,22.0,280,70,,2019-01-10
13206,GOANNA 1H,24:00:00,41.56,51.0,18.0,220,100,,2019-01-10
13207,GREAT WHITE 1H,15:00,125.0,92.0,5.0,140,720,,2019-01-10
13208,GREAT WHITE 2H,15:00,110.01,81.0,9.0,220,650,,2019-01-10
13209,JAVELINA 1H,24:00:00,34.44,20.0,18.0,240,60,,2019-01-10
13210,MANTA 1H,24:00:00,47.42,112.0,11.0,200,80,,2019-01-10
13211,REEF 3H,24:00:00,55.77,0.01,18.0,120,80,,2019-01-10
13212,RIDGEBACK 1H,24:00:00,34.17,4.0,26.0,120,60,,2019-01-10
13213,SEA WASP 2H,24:00:00,23.39,86.0,1.66,90,80,,2019-01-10
13214,STINGRAY 2H,24:00:00,2.93,4.0,169.0,280,50,,2019-01-10
13219,Summary,,827.59,1099.0,450.66,,,,2019-01-10
13215,THORNY DEVIL 1H,24:00:00,167.25,245.0,65.0,180,490,,2019-01-10
13216,THORNY DEVIL 2H,24:00:00,103.8,274.0,63.0,150,600,,2019-01-10
13217,THORNY DEVIL 3H,24:00:00,31.75,4.0,25.0,150,70,hot oiled casing and flowline,2019-01-10
13218,WOMBAT 2H,0:00,0.01,0.01,0.01,3750,2400,shut in for frac,2019-01-10
13220,CROC 1H,24:00:00,26.4,33.0,18.0,150,70,,2019-01-09
13221,GALAH 3H,24:00:00,53.44,115.0,23.0,280,70,,2019-01-09
13222,GOANNA 1H,24:00:00,28.42,22.0,28.0,220,100,hot oiled casing and flowline,2019-01-09
13223,GREAT WHITE 1H,2:00,35.08,30.0,25.0,730,600,trouble shooting compressor/ well si,2019-01-09
13224,GREAT WHITE 2H,2:00,21.66,30.0,8.0,740,980,trouble shooting compressor/ well si,2019-01-09
13225,JAVELINA 1H,24:00:00,30.03,22.0,12.0,240,60,,2019-01-09
13226,MANTA 1H,24:00:00,45.32,130.0,28.0,200,80,,2019-01-09
13227,REEF 3H,24:00:00,51.59,43.0,15.0,120,80,,2019-01-09
13228,RIDGEBACK 1H,24:00:00,25.04,4.0,5.0,-1,60,,2019-01-09
13229,SEA WASP 2H,24:00:00,28.4,86.0,6.67,90,80,,2019-01-09
13230,STINGRAY 2H,24:00:00,10.04,4.0,105.0,280,40,,2019-01-09
13235,Summary,,664.96,1076.0,413.67,,,,2019-01-09
13231,THORNY DEVIL 1H,24:00:00,167.24,127.0,62.0,180,490,,2019-01-09
13232,THORNY DEVIL 2H,24:00:00,112.15,358.0,65.0,150,600,,2019-01-09
13233,THORNY DEVIL 3H,24:00:00,30.15,72.0,13.0,150,70,,2019-01-09
13234,WOMBAT 2H,0:00,0.01,0.01,0.01,3750,2400,shut in for frac,2019-01-09
13236,CROC 1H,24:00:00,43.25,40.0,18.0,150,70,,2019-01-08
13237,GALAH 3H,24:00:00,53.47,110.0,23.0,280,70,,2019-01-08
13238,GOANNA 1H,24:00:00,43.47,58.0,12.0,220,100,,2019-01-08
13239,GREAT WHITE 1H,18:00,112.2,69.0,75.0,100,620,compressor doa. mechanic working on it.,2019-01-08
13240,GREAT WHITE 2H,18:00,121.33,59.0,38.0,100,590,cpmpressor doa. mechanic working on it.,2019-01-08
13241,JAVELINA 1H,24:00:00,33.36,21.0,14.0,240,60,,2019-01-08
13242,MANTA 1H,24:00:00,42.47,119.0,11.0,200,80,,2019-01-08
13243,REEF 3H,24:00:00,51.56,4.0,17.0,120,80,,2019-01-08
13244,RIDGEBACK 1H,24:00:00,28.4,4.0,7.0,120,60,,2019-01-08
13245,SEA WASP 2H,24:00:00,25.06,88.0,3.33,90,80,,2019-01-08
13246,STINGRAY 2H,1:00,0.01,28.0,0.01,200,0,pumping unit bol,2019-01-08
13251,Summary,,856.25,1150.0,363.33,,,,2019-01-08
13247,THORNY DEVIL 1H,24:00:00,155.0,191.0,65.0,180,490,,2019-01-08
13248,THORNY DEVIL 2H,24:00:00,120.0,289.0,65.0,150,600,,2019-01-08
13249,THORNY DEVIL 3H,24:00:00,26.68,70.0,15.0,150,70,,2019-01-08
13250,WOMBAT 2H,0:00,0.01,0.01,0.01,3750,2400,shut in for frac,2019-01-08
13252,CROC 1H,24:00:00,33.26,44.0,30.0,150,70,,2019-01-07
13253,GALAH 3H,24:00:00,51.8,97.0,22.0,280,70,,2019-01-07
13254,GOANNA 1H,24:00:00,40.13,58.0,17.0,220,100,,2019-01-07
13255,GREAT WHITE 1H,19:00,121.84,117.0,0.01,140,710,compressor down no flow and low oil pressure - mechanic maintenance and repair,2019-01-07
13256,GREAT WHITE 2H,19:00,96.84,79.0,55.0,120,650,compressor down no flow and on low oil pressure,2019-01-07
13257,JAVELINA 1H,24:00:00,35.01,4.0,12.0,240,60,,2019-01-07
13258,MANTA 1H,24:00:00,50.23,129.0,17.0,200,80,,2019-01-07
13259,REEF 3H,24:00:00,50.94,4.0,13.0,120,80,,2019-01-07
13260,RIDGEBACK 1H,24:00:00,43.43,4.0,3.0,120,60,h,2019-01-07
13261,SEA WASP 2H,24:00:00,28.4,87.0,8.34,90,80,,2019-01-07
13262,STINGRAY 2H,0:00,0.01,0.01,0.01,200,900,shut iin - frac,2019-01-07
13267,Summary,,836.74,837.0,314.34,,,,2019-01-07
13263,THORNY DEVIL 1H,24:00:00,142.65,60.0,55.0,180,490,,2019-01-07
13264,THORNY DEVIL 2H,24:00:00,110.47,90.0,67.0,150,600,,2019-01-07
13265,THORNY DEVIL 3H,24:00:00,31.74,64.0,15.0,150,70,,2019-01-07
13266,WOMBAT 2H,0:00,0.01,0.01,0.01,3650,2550,shut in for frac,2019-01-07
13268,CROC 1H,24:00:00,33.26,36.0,11.0,150,70,,2019-01-06
13269,GALAH 3H,24:00:00,55.65,117.0,22.0,280,70,,2019-01-06
13270,GOANNA 1H,24:00:00,45.15,50.0,10.0,220,100,,2019-01-06
13271,GREAT WHITE 1H,24:00:00,165.0,223.0,0.01,140,710,,2019-01-06
13272,GREAT WHITE 2H,24:00:00,122.23,165.0,72.0,120,630,,2019-01-06
13273,JAVELINA 1H,24:00:00,30.01,22.0,12.0,240,60,,2019-01-06
13274,MANTA 1H,24:00:00,55.81,4.0,28.0,200,80,,2019-01-06
13275,REEF 3H,24:00:00,51.58,4.0,17.0,120,80,,2019-01-06
13276,RIDGEBACK 1H,24:00:00,25.05,4.0,7.0,120,60,,2019-01-06
13277,SEA WASP 2H,24:00:00,26.74,89.0,3.33,90,80,,2019-01-06
13278,STINGRAY 2H,0:00,0.01,0.01,0.01,200,900,shut iin - frac,2019-01-06
13283,Summary,,882.84,1261.0,320.33,,,,2019-01-06
13279,THORNY DEVIL 1H,18:00,147.81,250.0,58.0,180,490,"compressor dow on on vibration 3 times , faulty wire/switch replaced",2019-01-06
13280,THORNY DEVIL 2H,18:00,92.81,228.0,65.0,160,600,"compressor dow on on vibration 3 times, faulty wire/switch replaced",2019-01-06
13281,THORNY DEVIL 3H,24:00:00,31.74,69.0,15.0,150,70,,2019-01-06
13282,WOMBAT 2H,0:00,0.01,0.01,0.01,3775,3100,shut in for frac,2019-01-06
13284,CROC 1H,24:00:00,30.09,35.0,10.0,150,70,recovering hot oil.,2019-01-05
13285,GALAH 3H,24:00:00,55.14,136.0,20.0,280,70,,2019-01-05
13286,GOANNA 1H,24:00:00,46.84,68.0,10.0,220,100,,2019-01-05
13287,GREAT WHITE 1H,24:00:00,170.58,66.0,100.0,140,710,,2019-01-05
13288,GREAT WHITE 2H,24:00:00,123.33,79.0,77.0,120,630,,2019-01-05
13289,JAVELINA 1H,24:00:00,29.37,22.0,15.0,240,0,,2019-01-05
13290,MANTA 1H,24:00:00,51.62,126.0,25.0,200,80,,2019-01-05
13291,REEF 3H,24:00:00,53.26,4.0,18.0,120,80,,2019-01-05
13292,RIDGEBACK 1H,24:00:00,10.03,10.0,10.0,120,60,,2019-01-05
13293,SEA WASP 2H,24:00:00,30.08,90.0,3.33,90,80,,2019-01-05
13294,STINGRAY 2H,0:00,0.01,0.01,0.01,200,900,shut iin - frac,2019-01-05
13299,Summary,,901.61,1182.0,423.33,,,,2019-01-05
13295,THORNY DEVIL 1H,24:00:00,158.04,238.0,63.0,180,490,,2019-01-05
13296,THORNY DEVIL 2H,24:00:00,110.0,242.0,62.0,150,600,,2019-01-05
13297,THORNY DEVIL 3H,24:00:00,33.23,66.0,10.0,150,70,,2019-01-05
13298,WOMBAT 2H,0:00,0.01,0.01,0.01,3725,3000,shut in for frac,2019-01-05
13300,CROC 1H,24:00:00,36.61,36.0,20.0,150,70,,2019-01-04
13301,GALAH 3H,24:00:00,53.47,83.0,15.0,280,70,,2019-01-04
13302,GOANNA 1H,24:00:00,51.85,64.0,10.0,220,100,,2019-01-04
13303,GREAT WHITE 1H,23:00,167.29,111.0,102.0,140,710,compressor down high suction,2019-01-04
13304,GREAT WHITE 2H,23:00,128.42,67.0,82.0,120,630,compressor down on high suction,2019-01-04
13305,JAVELINA 1H,24:00:00,31.68,22.0,13.0,240,60,,2019-01-04
13306,MANTA 1H,24:00:00,53.0,125.0,28.0,200,80,,2019-01-04
13307,REEF 3H,24:00:00,49.93,43.0,18.0,120,80,,2019-01-04
13308,RIDGEBACK 1H,24:00:00,23.39,8.0,3.0,120,60,,2019-01-04
13309,SEA WASP 2H,24:00:00,22.44,84.0,5.0,80,70,,2019-01-04
13310,STINGRAY 2H,0:00,0.01,0.01,0.01,200,900,shut iin - frac,2019-01-04
13315,Summary,,909.39,1194.0,426.0,,,,2019-01-04
13311,THORNY DEVIL 1H,24:00:00,160.36,240.0,62.0,180,490,,2019-01-04
13312,THORNY DEVIL 2H,24:00:00,102.05,248.0,58.0,150,600,,2019-01-04
13313,THORNY DEVIL 3H,24:00:00,28.9,63.0,10.0,150,70,,2019-01-04
13314,WOMBAT 2H,0:00,0.01,0.01,0.01,3775,3000,shut in for frac,2019-01-04
13316,CROC 1H,24:00:00,38.26,39.0,20.0,150,70,,2019-01-03
13317,GALAH 3H,24:00:00,52.39,103.0,20.0,280,70,,2019-01-03
13318,GOANNA 1H,24:00:00,43.81,62.0,8.0,220,100,,2019-01-03
13319,GREAT WHITE 1H,24:00:00,171.42,108.0,104.0,140,710,increase injection rate - 425,2019-01-03
13320,GREAT WHITE 2H,24:00:00,120.0,75.0,78.0,120,630,,2019-01-03
13321,JAVELINA 1H,24:00:00,30.01,21.0,11.0,240,60,,2019-01-03
13322,MANTA 1H,24:00:00,44.63,128.0,33.0,200,80,,2019-01-03
13323,REEF 3H,24:00:00,54.92,43.0,18.0,120,80,,2019-01-03
13324,RIDGEBACK 1H,24:00:00,6.69,5.0,10.0,120,60,H/O flow line and csng yesterday.,2019-01-03
13325,SEA WASP 2H,24:00:00,26.73,87.0,5.0,0,0,Location unacessable due to flooding,2019-01-03
13326,STINGRAY 2H,0:00,0.01,0.01,0.01,200,900,shut iin - frac,2019-01-03
13331,Summary,,902.28,1199.0,444.0,,,,2019-01-03
13327,THORNY DEVIL 1H,24:00:00,165.01,225.0,60.0,180,490,,2019-01-03
13328,THORNY DEVIL 2H,24:00:00,115.0,238.0,60.0,150,600,,2019-01-03
13329,THORNY DEVIL 3H,24:00:00,33.41,65.0,17.0,150,70,,2019-01-03
13330,WOMBAT 2H,0:00,0.01,0.01,0.01,3750,2900,shut in for frac,2019-01-03
13332,CROC 1H,24:00:00,38.26,40.0,18.0,150,70,,2019-01-02
13333,GALAH 3H,24:00:00,50.55,141.0,27.0,280,70,,2019-01-02
13334,GOANNA 1H,24:00:00,40.97,66.0,12.0,220,100,,2019-01-02
13335,GREAT WHITE 1H,24:00:00,151.71,118.0,95.0,150,700,,2019-01-02
13336,GREAT WHITE 2H,24:00:00,146.48,100.0,78.0,130,640,,2019-01-02
13337,JAVELINA 1H,24:00:00,33.34,22.0,13.0,240,0,,2019-01-02
13338,MANTA 1H,24:00:00,33.47,73.0,31.0,200,80,recovering wtr from hot oil,2019-01-02
13339,REEF 3H,24:00:00,57.3,43.0,17.0,120,80,,2019-01-02
13340,RIDGEBACK 1H,24:00:00,15.04,7.0,5.0,120,60,Called to H/O csng and flow line,2019-01-02
13341,SEA WASP 2H,24:00:00,30.07,88.0,6.67,80,70,,2019-01-02
13342,STINGRAY 2H,0:00,0.01,0.01,0.01,200,900,shut iin - frac,2019-01-02
13347,Summary,,911.98,1263.0,447.67,,,,2019-01-02
13343,THORNY DEVIL 1H,24:00:00,181.54,261.0,68.0,180,490,,2019-01-02
13344,THORNY DEVIL 2H,24:00:00,101.17,232.0,60.0,150,600,,2019-01-02
13345,THORNY DEVIL 3H,24:00:00,32.08,72.0,17.0,150,70,,2019-01-02
13346,WOMBAT 2H,0:00,0.01,0.01,0.01,3800,3000,shut in for frac,2019-01-02
13348,CROC 1H,24:00:00,39.91,39.0,20.0,150,70,,2019-01-01
13349,GALAH 3H,24:00:00,43.42,107.0,17.0,280,70,,2019-01-01
13350,GOANNA 1H,24:00:00,41.8,66.0,13.0,220,100,,2019-01-01
13351,GREAT WHITE 1H,24:00:00,191.19,133.0,100.0,150,700,,2019-01-01
13352,GREAT WHITE 2H,24:00:00,154.56,124.0,84.0,130,640,,2019-01-01
13353,JAVELINA 1H,24:00:00,35.01,23.0,15.0,240,60,,2019-01-01
13354,MANTA 1H,24:00:00,2.79,150.0,11.0,200,80,Hot Oil(1/1)-CSG/Flowline,2019-01-01
13355,REEF 3H,24:00:00,49.93,43.0,15.0,120,80,,2019-01-01
13356,RIDGEBACK 1H,24:00:00,16.71,4.0,7.0,120,60,,2019-01-01
13357,SEA WASP 2H,24:00:00,26.73,85.0,5.0,80,70,,2019-01-01
13358,STINGRAY 2H,0:00,0.01,0.01,0.01,200,900,shut iin - frac,2019-01-01
13363,Summary,,918.79,1310.0,450.0,,,,2019-01-01
13359,THORNY DEVIL 1H,24:00:00,178.33,233.0,80.0,200,500,,2019-01-01
13360,THORNY DEVIL 2H,24:00:00,111.66,234.0,65.0,150,600,,2019-01-01
13361,THORNY DEVIL 3H,24:00:00,26.75,69.0,18.0,150,70,,2019-01-01
13362,WOMBAT 2H,0:00,0.01,0.01,0.01,3800,3200,shut in for frac,2019-01-01
13364,CROC 1H,24:00:00,34.93,37.0,20.0,150,70,,2018-12-31
13365,GALAH 3H,20:00,30.06,30.0,10.0,280,70,doa - high load limit - reset,2018-12-31
13366,GOANNA 1H,24:00:00,41.8,62.0,10.0,220,100,,2018-12-31
13367,GREAT WHITE 1H,24:00:00,160.0,145.0,115.0,150,700,,2018-12-31
13368,GREAT WHITE 2H,24:00:00,146.67,129.0,89.0,130,640,,2018-12-31
13369,JAVELINA 1H,24:00:00,30.01,23.0,12.0,240,60,,2018-12-31
13370,MANTA 1H,18:00,14.85,143.0,19.0,200,80,"doa- high load lmit, reset. surged on tubiing, pumped up.",2018-12-31
13371,REEF 3H,24:00:00,44.94,43.0,32.0,120,80,,2018-12-31
13372,RIDGEBACK 1H,24:00:00,21.72,4.0,8.0,120,60,,2018-12-31
13373,SEA WASP 2H,24:00:00,25.07,88.0,3.33,80,70,,2018-12-31
13374,STINGRAY 2H,0:00,0.01,0.01,0.01,200,900,shut iin - frac,2018-12-31
13379,Summary,,816.8,1197.0,452.33,,,,2018-12-31
13375,THORNY DEVIL 1H,20:00,158.34,169.0,62.0,160,530,"flowline hot oiled also compressor down on fuel valve malfunction, loose wire mechanic reattached",2018-12-31
13376,THORNY DEVIL 2H,20:00,81.66,269.0,55.0,160,650,"downon  on hig sep level,had flowline hot oiled also down on fuel valve malfunction, mechanic reattached wiring that became loose",2018-12-31
13377,THORNY DEVIL 3H,24:00:00,26.75,55.0,17.0,150,70,,2018-12-31
13378,WOMBAT 2H,0:00,0.01,0.01,0.01,3750,3200,shut in for frac,2018-12-31
13380,CROC 1H,24:00:00,29.97,35.0,20.0,150,70,,2018-12-30
13381,GALAH 3H,24:00:00,55.18,114.0,22.0,280,70,,2018-12-30
13382,GOANNA 1H,24:00:00,50.16,64.0,17.0,220,100,,2018-12-30
13383,GREAT WHITE 1H,24:00:00,160.49,133.0,130.0,150,700,,2018-12-30
13384,GREAT WHITE 2H,24:00:00,182.18,111.0,90.0,130,640,,2018-12-30
13385,JAVELINA 1H,24:00:00,35.01,23.0,15.0,240,60,,2018-12-30
13386,MANTA 1H,24:00:00,49.39,150.0,19.0,280,80,,2018-12-30
13387,REEF 3H,24:00:00,43.27,43.0,28.0,120,80,,2018-12-30
13388,RIDGEBACK 1H,24:00:00,26.73,4.0,7.0,120,60,,2018-12-30
13389,SEA WASP 2H,24:00:00,28.41,89.0,5.0,80,70,,2018-12-30
13390,STINGRAY 2H,0:00,0.01,0.01,0.01,200,900,shut in - frac,2018-12-30
13395,Summary,,935.48,1202.0,472.0,,,,2018-12-30
13391,THORNY DEVIL 1H,24:00:00,151.68,48.0,48.0,160,530,,2018-12-30
13392,THORNY DEVIL 2H,24:00:00,90.83,318.0,58.0,160,650,,2018-12-30
13393,THORNY DEVIL 3H,24:00:00,32.18,70.0,13.0,150,70,,2018-12-30
13394,WOMBAT 2H,0:00,0.01,0.01,0.01,3700,3200,shut in for frac,2018-12-30
13396,CROC 1H,24:00:00,39.51,33.0,25.0,150,70,,2018-12-29
13397,GALAH 3H,24:00:00,51.77,130.0,20.0,280,70,,2018-12-29
13398,GOANNA 1H,24:00:00,49.65,64.0,10.0,220,100,,2018-12-29
13399,GREAT WHITE 1H,24:00:00,189.45,112.0,110.0,150,700,,2018-12-29
13400,GREAT WHITE 2H,24:00:00,137.03,96.0,89.0,130,640,,2018-12-29
13401,JAVELINA 1H,24:00:00,35.01,24.0,15.0,240,60,,2018-12-29
13402,MANTA 1H,24:00:00,55.81,150.0,25.0,280,80,,2018-12-29
13403,REEF 3H,24:00:00,44.7,4.0,0.01,120,80,Recovering from hot oil.,2018-12-29
13404,RIDGEBACK 1H,24:00:00,36.77,4.0,10.0,120,60,,2018-12-29
13405,SEA WASP 2H,24:00:00,22.46,91.0,8.34,80,70,,2018-12-29
13406,STINGRAY 2H,0:00,0.01,0.01,0.01,200,850,shut in - FRAC,2018-12-29
13411,Summary,,908.85,1271.0,414.34,,,,2018-12-29
13407,THORNY DEVIL 1H,20:00,123.33,308.0,40.0,160,530,"down on vibration, faulty wire.mechanic replaced wiring",2018-12-29
13408,THORNY DEVIL 2H,20:00,89.93,180.0,50.0,160,650,,2018-12-29
13409,THORNY DEVIL 3H,24:00:00,33.43,75.0,12.0,150,70,,2018-12-29
13410,WOMBAT 2H,0:00,0.01,0.01,0.01,3700,3300,shut in for frac,2018-12-29
13412,CROC 1H,24:00:00,48.23,37.0,28.0,150,70,,2018-12-28
13413,GALAH 3H,24:00:00,33.85,82.0,17.0,280,70,high line pressure,2018-12-28
13414,GOANNA 1H,24:00:00,41.82,66.0,12.0,220,100,,2018-12-28
13415,GREAT WHITE 1H,24:00:00,155.41,92.0,100.0,150,700,,2018-12-28
13416,GREAT WHITE 2H,24:00:00,117.5,77.0,73.0,130,640,,2018-12-28
13417,JAVELINA 1H,24:00:00,26.68,20.0,15.0,240,60,,2018-12-28
13418,MANTA 1H,24:00:00,44.65,121.0,22.0,200,80,high line pressure,2018-12-28
13419,REEF 3H,24:00:00,58.24,43.0,10.0,120,80,,2018-12-28
13420,RIDGEBACK 1H,24:00:00,44.83,4.0,10.0,120,60,,2018-12-28
13421,SEA WASP 2H,24:00:00,33.41,86.0,3.33,80,70,,2018-12-28
13422,STINGRAY 2H,0:00,0.01,0.01,0.01,200,850,shut in - FRAC,2018-12-28
13427,Summary,,885.14,1143.0,416.33,,,,2018-12-28
13423,THORNY DEVIL 1H,23:00,145.44,283.0,52.0,160,530,"compressor dowon on vibration, faulty wire",2018-12-28
13424,THORNY DEVIL 2H,23:00,101.66,172.0,62.0,160,650,,2018-12-28
13425,THORNY DEVIL 3H,24:00:00,33.42,60.0,12.0,150,70,,2018-12-28
13426,WOMBAT 2H,0:00,0.01,0.01,0.01,3400,3000,shut in for frac,2018-12-28
13428,CROC 1H,24:00:00,50.57,24.0,10.0,150,70,,2018-12-27
13429,GALAH 3H,24:00:00,53.47,124.0,23.0,280,70,,2018-12-27
13430,GOANNA 1H,24:00:00,45.17,65.0,15.0,220,100,,2018-12-27
13431,GREAT WHITE 1H,24:00:00,188.34,126.0,107.0,150,700,,2018-12-27
13432,GREAT WHITE 2H,24:00:00,151.67,62.0,82.0,130,640,,2018-12-27
13433,JAVELINA 1H,24:00:00,32.91,22.0,11.0,240,60,,2018-12-27
13434,MANTA 1H,24:00:00,55.81,160.0,19.0,200,80,,2018-12-27
13435,REEF 3H,24:00:00,49.91,43.0,14.0,120,80,,2018-12-27
13436,RIDGEBACK 1H,24:00:00,23.38,4.0,10.0,120,60,,2018-12-27
13437,SEA WASP 2H,24:00:00,25.05,89.0,5.0,0,0,,2018-12-27
13438,STINGRAY 2H,0:00,0.01,0.01,0.01,200,850,shut in - FRAC,2018-12-27
13443,Summary,,984.61,1286.0,451.0,,,,2018-12-27
13439,THORNY DEVIL 1H,24:00:00,159.91,315.0,60.0,160,530,,2018-12-27
13440,THORNY DEVIL 2H,24:00:00,116.66,180.0,77.0,160,650,,2018-12-27
13441,THORNY DEVIL 3H,24:00:00,31.76,72.0,18.0,150,70,,2018-12-27
13442,WOMBAT 2H,0:00,0.01,0.01,0.01,2950,2500,shut in for frac,2018-12-27
13444,CROC 1H,24:00:00,3.33,21.0,10.0,150,70,Gas locked.,2018-12-26
13445,GALAH 3H,24:00:00,51.8,125.0,20.0,280,70,,2018-12-26
13446,GOANNA 1H,24:00:00,50.19,67.0,10.0,220,100,,2018-12-26
13447,GREAT WHITE 1H,24:00:00,185.87,157.0,97.0,150,700,,2018-12-26
13448,GREAT WHITE 2H,24:00:00,167.12,27.0,88.0,130,640,,2018-12-26
13449,JAVELINA 1H,24:00:00,35.03,23.0,16.0,240,60,,2018-12-26
13450,MANTA 1H,24:00:00,55.81,160.0,17.0,200,80,,2018-12-26
13451,REEF 3H,24:00:00,55.56,43.0,8.0,120,80,,2018-12-26
13452,RIDGEBACK 1H,24:00:00,23.38,4.0,10.0,120,60,,2018-12-26
13453,SEA WASP 2H,24:00:00,31.74,89.0,3.33,80,70,,2018-12-26
13454,STINGRAY 2H,0:00,0.01,0.01,0.01,200,800,shut in - FRAC,2018-12-26
13459,Summary,,965.3,1289.0,429.33,,,,2018-12-26
13455,THORNY DEVIL 1H,24:00:00,157.63,324.0,55.0,160,530,,2018-12-26
13456,THORNY DEVIL 2H,24:00:00,117.76,181.0,80.0,160,650,,2018-12-26
13457,THORNY DEVIL 3H,24:00:00,30.08,68.0,15.0,150,70,,2018-12-26
13458,WOMBAT 2H,0:00,0.01,0.01,0.01,2250,1400,shut in for frac,2018-12-26
13460,CROC 1H,24:00:00,37.85,36.0,18.0,150,70,,2018-12-25
13461,GALAH 3H,24:00:00,50.08,95.0,17.0,280,70,,2018-12-25
13462,GOANNA 1H,24:00:00,50.03,63.0,12.0,220,100,,2018-12-25
13463,GREAT WHITE 1H,24:00:00,178.97,157.0,120.0,150,700,,2018-12-25
13464,GREAT WHITE 2H,24:00:00,151.15,25.0,90.0,130,640,,2018-12-25
13465,JAVELINA 1H,24:00:00,33.36,23.0,13.0,240,60,,2018-12-25
13466,MANTA 1H,24:00:00,58.67,155.0,17.0,200,80,,2018-12-25
13467,REEF 3H,24:00:00,45.74,4.0,18.0,120,80,,2018-12-25
13468,RIDGEBACK 1H,24:00:00,21.72,4.0,10.0,120,60,,2018-12-25
13469,SEA WASP 2H,24:00:00,26.73,88.0,6.67,80,70,,2018-12-25
13470,STINGRAY 2H,0:00,0.01,0.01,0.01,200,800,shut in - FRAC,2018-12-25
13475,Summary,,965.81,1118.0,466.67,,,,2018-12-25
13471,THORNY DEVIL 1H,24:00:00,159.76,295.0,58.0,160,530,,2018-12-25
13472,THORNY DEVIL 2H,24:00:00,121.67,169.0,72.0,160,650,,2018-12-25
13473,THORNY DEVIL 3H,24:00:00,30.08,4.0,15.0,150,70,,2018-12-25
13474,WOMBAT 2H,0:00,0.01,0.01,0.01,2240,1375,shut in for frac,2018-12-25
13476,CROC 1H,24:00:00,39.92,35.0,24.0,150,70,,2018-12-24
13477,GALAH 3H,24:00:00,50.54,122.0,22.0,280,70,,2018-12-24
13478,GOANNA 1H,24:00:00,48.48,62.0,15.0,220,100,,2018-12-24
13479,GREAT WHITE 1H,14:00,130.26,75.0,65.0,150,700,Compressor was down for 10hrs(electrical). BOL.,2018-12-24
13480,GREAT WHITE 2H,24:00:00,111.67,63.0,57.0,130,640,Compressor was down for 10hrs(electrical). BOL.,2018-12-24
13481,JAVELINA 1H,24:00:00,30.01,23.0,15.0,240,60,,2018-12-24
13482,MANTA 1H,24:00:00,44.62,123.0,14.0,200,80,,2018-12-24
13483,REEF 3H,24:00:00,53.25,43.0,20.0,120,80,,2018-12-24
13484,RIDGEBACK 1H,24:00:00,26.73,4.0,8.0,120,60,,2018-12-24
13485,SEA WASP 2H,24:00:00,30.08,90.0,3.33,80,70,,2018-12-24
13486,STINGRAY 2H,0:00,0.01,0.01,0.01,200,800,,2018-12-24
13491,Summary,,874.82,1223.0,389.33,,,,2018-12-24
13487,THORNY DEVIL 1H,24:00:00,156.01,327.0,58.0,160,530,,2018-12-24
13488,THORNY DEVIL 2H,24:00:00,123.08,185.0,78.0,160,650,,2018-12-24
13489,THORNY DEVIL 3H,24:00:00,30.17,71.0,10.0,150,70,,2018-12-24
13490,WOMBAT 2H,0:00,0.01,0.01,0.01,2300,1800,shut in for frac,2018-12-24
13492,CROC 1H,24:00:00,0.01,37.0,0.01,0,0,,2018-12-23
13493,GALAH 3H,24:00:00,53.44,126.0,27.0,280,70,,2018-12-23
13494,GOANNA 1H,24:00:00,48.44,62.0,17.0,220,100,,2018-12-23
13495,GREAT WHITE 1H,24:00:00,177.7,92.0,135.0,150,700,Compressor went down. Mechanic working on troubleshooting.,2018-12-23
